Datetime,C,T,Time,Date
2004-10-03,2.6,13.6,18:00:00,2004-03-10
2004-10-03,2,13.3,19:00:00,2004-03-10
2004-10-03,2.2,11.9,20:00:00,2004-03-10
2004-10-03,2.2,11,21:00:00,2004-03-10
2004-10-03,1.6,11.2,22:00:00,2004-03-10
2004-10-03,1.2,11.2,23:00:00,2004-03-10
2004-11-03,1.2,11.3,00:00:00,2004-03-11
2004-11-03,1,10.7,01:00:00,2004-03-11
2004-11-03,0.9,10.7,02:00:00,2004-03-11
2004-11-03,0.6,10.3,03:00:00,2004-03-11
2004-11-03,-200,10.1,04:00:00,2004-03-11
2004-11-03,0.7,11,05:00:00,2004-03-11
2004-11-03,0.7,10.5,06:00:00,2004-03-11
2004-11-03,1.1,10.2,07:00:00,2004-03-11
2004-11-03,2,10.8,08:00:00,2004-03-11
2004-11-03,2.2,10.5,09:00:00,2004-03-11
2004-11-03,1.7,10.8,10:00:00,2004-03-11
2004-11-03,1.5,10.5,11:00:00,2004-03-11
2004-11-03,1.6,9.5,12:00:00,2004-03-11
2004-11-03,1.9,8.3,13:00:00,2004-03-11
2004-11-03,2.9,8,14:00:00,2004-03-11
2004-11-03,2.2,8.3,15:00:00,2004-03-11
2004-11-03,2.2,9.7,16:00:00,2004-03-11
2004-11-03,2.9,9.8,17:00:00,2004-03-11
2004-11-03,4.8,10.3,18:00:00,2004-03-11
2004-11-03,6.9,9.7,19:00:00,2004-03-11
2004-11-03,6.1,9.6,20:00:00,2004-03-11
2004-11-03,3.9,9.1,21:00:00,2004-03-11
2004-11-03,1.5,8.2,22:00:00,2004-03-11
2004-11-03,1,8.2,23:00:00,2004-03-11
2004-12-03,1.7,8.3,00:00:00,2004-03-12
2004-12-03,1.9,7.7,01:00:00,2004-03-12
2004-12-03,1.4,7.1,02:00:00,2004-03-12
2004-12-03,0.8,7,03:00:00,2004-03-12
2004-12-03,-200,6.1,04:00:00,2004-03-12
2004-12-03,0.6,6.3,05:00:00,2004-03-12
2004-12-03,0.8,6.8,06:00:00,2004-03-12
2004-12-03,1.4,6.4,07:00:00,2004-03-12
2004-12-03,4.4,7.3,08:00:00,2004-03-12
2004-12-03,-200,9.2,09:00:00,2004-03-12
2004-12-03,3.1,13.2,10:00:00,2004-03-12
2004-12-03,2.7,14.3,11:00:00,2004-03-12
2004-12-03,2.1,15,12:00:00,2004-03-12
2004-12-03,2.5,16.1,13:00:00,2004-03-12
2004-12-03,2.7,16.3,14:00:00,2004-03-12
2004-12-03,2.9,15.8,15:00:00,2004-03-12
2004-12-03,2.8,15.9,16:00:00,2004-03-12
2004-12-03,2.4,16.9,17:00:00,2004-03-12
2004-12-03,3.9,15.1,18:00:00,2004-03-12
2004-12-03,3.7,14.4,19:00:00,2004-03-12
2004-12-03,6.6,12.9,20:00:00,2004-03-12
2004-12-03,4.4,12.1,21:00:00,2004-03-12
2004-12-03,3.5,11,22:00:00,2004-03-12
2004-12-03,5.4,9.7,23:00:00,2004-03-12
03/13/2004 00:00:00,2.7,9.5,00:00:00,2004-03-13
03/13/2004 01:00:00,1.9,9.1,01:00:00,2004-03-13
03/13/2004 02:00:00,1.6,8.8,02:00:00,2004-03-13
03/13/2004 03:00:00,1.7,7.8,03:00:00,2004-03-13
03/13/2004 04:00:00,-200,7,04:00:00,2004-03-13
03/13/2004 05:00:00,1,8.3,05:00:00,2004-03-13
03/13/2004 06:00:00,1.2,7.2,06:00:00,2004-03-13
03/13/2004 07:00:00,1.5,6.3,07:00:00,2004-03-13
03/13/2004 08:00:00,2.7,6.5,08:00:00,2004-03-13
03/13/2004 09:00:00,3.7,9.6,09:00:00,2004-03-13
03/13/2004 10:00:00,3.2,12.4,10:00:00,2004-03-13
03/13/2004 11:00:00,4.1,15.6,11:00:00,2004-03-13
03/13/2004 12:00:00,3.6,18.4,12:00:00,2004-03-13
03/13/2004 13:00:00,2.8,19.4,13:00:00,2004-03-13
03/13/2004 14:00:00,2,18,14:00:00,2004-03-13
03/13/2004 15:00:00,2,18.4,15:00:00,2004-03-13
03/13/2004 16:00:00,2.5,17.6,16:00:00,2004-03-13
03/13/2004 17:00:00,2.3,16.7,17:00:00,2004-03-13
03/13/2004 18:00:00,3.2,16.1,18:00:00,2004-03-13
03/13/2004 19:00:00,4.2,15.8,19:00:00,2004-03-13
03/13/2004 20:00:00,4.2,15.7,20:00:00,2004-03-13
03/13/2004 21:00:00,4.2,15.3,21:00:00,2004-03-13
03/13/2004 22:00:00,3.1,14.6,22:00:00,2004-03-13
03/13/2004 23:00:00,2.6,14.7,23:00:00,2004-03-13
03/14/2004 00:00:00,2.9,13.9,00:00:00,2004-03-14
03/14/2004 01:00:00,2.8,14.6,01:00:00,2004-03-14
03/14/2004 02:00:00,2.5,12.5,02:00:00,2004-03-14
03/14/2004 03:00:00,2.4,11.6,03:00:00,2004-03-14
03/14/2004 04:00:00,-200,12.1,04:00:00,2004-03-14
03/14/2004 05:00:00,1.2,11.5,05:00:00,2004-03-14
03/14/2004 06:00:00,1,11.6,06:00:00,2004-03-14
03/14/2004 07:00:00,0.9,10.4,07:00:00,2004-03-14
03/14/2004 08:00:00,1.4,11.6,08:00:00,2004-03-14
03/14/2004 09:00:00,1.6,12.4,09:00:00,2004-03-14
03/14/2004 10:00:00,2.2,14.5,10:00:00,2004-03-14
03/14/2004 11:00:00,2.8,16.9,11:00:00,2004-03-14
03/14/2004 12:00:00,2.8,19.3,12:00:00,2004-03-14
03/14/2004 13:00:00,2,21.2,13:00:00,2004-03-14
03/14/2004 14:00:00,1.8,21.4,14:00:00,2004-03-14
